Neurite,ArborType,BrainRegion,Species,Archive,SeqLen,Region2,Region3,Class1,Class2,Class3,Gender,Protocol,AgeClass,Strain,ExperCond,Order,Layer,CorticalRegion,CorticalLobe
cZI_1-Dendrite,Dendrite,Ventral thalamus,Rat,Acsady,46,Zona incerta,Caudal,Principal cell,Modulated cell,Not reported,M,In vivo,Adult,Wistar Rat,Control,Rodent,Not reported,Not reported,Not reported
cZI_2-Dendrite,Dendrite,Ventral thalamus,Rat,Acsady,15,Zona incerta,Caudal,Principal cell,Modulated cell,Not reported,M,In vivo,Adult,Wistar Rat,Control,Rodent,Not reported,Not reported,Not reported
cZI_3-Dendrite,Dendrite,Ventral thalamus,Rat,Acsady,9,Zona incerta,Caudal,Principal cell,Modulated cell,Not reported,M,In vivo,Adult,Sprague-Dawley Rat,Control,Rodent,Not reported,Not reported,Not reported
dZI_1-Dendrite,Dendrite,Ventral thalamus,Rat,Acsady,20,Zona incerta,Dorsal,Principal cell,Modulated cell,Not reported,M,In vivo,Adult,Wistar Rat,Control,Rodent,Not reported,Not reported,Not reported
dZI_2-Dendrite,Dendrite,Ventral thalamus,Rat,Acsady,21,Zona incerta,Dorsal,Principal cell,Modulated cell,Not reported,M,In vivo,Adult,Wistar Rat,Control,Rodent,Not reported,Not reported,Not reported
dZI_3-Dendrite,Dendrite,Ventral thalamus,Rat,Acsady,19,Zona incerta,Dorsal,Principal cell,Modulated cell,Not reported,M,In vivo,Adult,Sprague-Dawley Rat,Control,Rodent,Not reported,Not reported,Not reported
dZI_4-Dendrite,Dendrite,Ventral thalamus,Rat,Acsady,27,Zona incerta,Dorsal,Principal cell,Modulated cell,Not reported,M,In vivo,Adult,Wistar Rat,Control,Rodent,Not reported,Not reported,Not reported
dZI_5-Dendrite,Dendrite,Ventral thalamus,Rat,Acsady,31,Zona incerta,Dorsal,Principal cell,Modulated cell,Not reported,M,In vivo,Adult,Wistar Rat,Control,Rodent,Not reported,Not reported,Not reported
dZI_6-Dendrite,Dendrite,Ventral thalamus,Rat,Acsady,19,Zona incerta,Dorsal,Principal cell,Modulated cell,Not reported,M,In vivo,Adult,Wistar Rat,Control,Rodent,Not reported,Not reported,Not reported
VPM_1-Dendrite,Dendrite,Dorsal thalamus,Rat,Acsady,93,Ventral posteromedial nucleus,Not reported,Principal cell,Relay cell,Not reported,M,In vivo,Adult,Wistar Rat,Control,Rodent,Not reported,Not reported,Not reported
vZI_1-Dendrite,Dendrite,Ventral thalamus,Rat,Acsady,22,Zona incerta,Ventral,Principal cell,Modulated cell,Not reported,M,In vivo,Adult,Sprague-Dawley Rat,Control,Rodent,Not reported,Not reported,Not reported
vZI_2-Dendrite,Dendrite,Ventral thalamus,Rat,Acsady,13,Zona incerta,Ventral,Principal cell,Modulated cell,Not reported,M,In vivo,Adult,Wistar Rat,Control,Rodent,Not reported,Not reported,Not reported
vZI_3-Dendrite,Dendrite,Ventral thalamus,Rat,Acsady,17,Zona incerta,Ventral,Principal cell,Modulated cell,Not reported,M,In vivo,Adult,Sprague-Dawley Rat,Control,Rodent,Not reported,Not reported,Not reported
02a_pyramidal2aFI-BasalDendrite,Dendrite,Neocortex,Human,Allman,8,Fronto-insula,Not reported,Principal cell,Pyramidal cell,Not reported,M,In vitro,Adult,Not reported,Control,Primate,Layer 5,Insula,Insula
02a_pyramidal2aFI-ApicalDendrite,ApicalDendrite,Neocortex,Human,Allman,8,Fronto-insula,Not reported,Principal cell,Pyramidal cell,Not reported,M,In vitro,Adult,Not reported,Control,Primate,Layer 5,Insula,Insula
